"Name","Type","Level","Race","Attribute","ATK","DEF","Cluster"
"Deskbot 004","Effect Monster",4,"Machine","EARTH",500,500,"cluster_4"
"Uni-Horned Familiar","Tuner Monster",2,"Beast","LIGHT",0,1000,"cluster_1"
"Wightmare","Effect Monster",1,"Zombie","DARK",300,200,"cluster_2"
"Ally of Justice Unknown Crusher","Effect Monster",3,"Machine","DARK",1200,800,"cluster_4"
"Aquarian Alessa","Gemini Monster",4,"Aqua","WATER",1500,500,"cluster_0"
"Garum the Storm Vassal","Effect Monster",3,"Winged Beast","WIND",800,1000,"cluster_6"
"Aurora Paragon","Effect Monster",4,"Fairy","LIGHT",1500,1000,"cluster_1"
"Mithra the Thunder Vassal","Effect Monster",2,"Thunder","LIGHT",800,1000,"cluster_4"
"Fairy Guardian","Effect Monster",3,"Fairy","WIND",1000,1000,"cluster_1"
"Mermail Abyssteus","Effect Monster",7,"Aqua","WATER",1700.0000000000002,2400,"cluster_4"
"Venom Cobra","Normal Monster",4,"Reptile","EARTH",100,2000,"cluster_5"
"Mechanical Hound","Effect Monster",7,"Machine","EARTH",2800.0000000000005,1500,"cluster_4"
"Masked Ninja Ebisu","Effect Monster",4,"Warrior","WIND",1200,1800.0000000000002,"cluster_6"
"Magic Hand","Effect Monster",4,"Spellcaster","DARK",800,1600,"cluster_1"
"Nimble Momonga","Effect Monster",2,"Beast","EARTH",1000,100,"cluster_1"
"Hydrogeddon","Effect Monster",4,"Dinosaur","WATER",1600,1000,"cluster_5"
"Mataza the Zapper","Effect Monster",3,"Warrior","DARK",1300,800,"cluster_2"
"Stellarknight Zefraxciton","Pendulum Effect Monster",4,"Fiend","LIGHT",1900,0,"cluster_3"
"Lyla, Lightsworn Sorceress","Effect Monster",4,"Spellcaster","LIGHT",1700.0000000000002,200,"cluster_1"
"Dinoster Power, the Mighty Dracoslayer","Fusion Monster",8,"Dragon","WATER",2000,2950.0000000000005,"cluster_0"
"Lightning Chidori","XYZ Monster",4,"Thunder","WIND",1900,1600,"cluster_4"
"Isolde, Belle of the Underworld","Effect Monster",4,"Zombie","DARK",1000,0,"cluster_2"
"Commander Covington","Effect Monster",4,"Machine","EARTH",1000,600,"cluster_4"
"Small Piece Golem","Effect Monster",3,"Rock","EARTH",1100,0,"cluster_6"
"B.E.S. Crystal Core","Effect Monster",5,"Machine","WATER",2100,1000,"cluster_4"
"Deep-Eyes White Dragon","Effect Monster",10,"Dragon","LIGHT",0,0,"cluster_5"
"Doom Virus Dragon","Fusion Monster",4,"Dragon","DARK",1900,1500,"cluster_0"
"Earth Armor Ninja","Effect Monster",5,"Warrior","EARTH",1600,1200,"cluster_6"
"Blackwing - Blizzard the Far North","Tuner Monster",2,"Winged Beast","DARK",1300,0,"cluster_2"
"Mist Valley Soldier","Tuner Monster",4,"Winged Beast","WIND",1700.0000000000002,300,"cluster_6"
"Sea Lancer","Effect Monster",5,"Beast-Warrior","WATER",1300,1000,"cluster_4"
"Fiend Sword","Normal Monster",4,"Warrior","DARK",1400.0000000000002,800,"cluster_2"
"Zeman the Ape King","Synchro Monster",7,"Beast","EARTH",2500,1800.0000000000002,"cluster_1"
"Hyena","Effect Monster",3,"Beast","EARTH",1000,300,"cluster_1"
"Green Phantom King","Normal Monster",3,"Plant","EARTH",500,1600,"cluster_5"
"Breaker the Dark Magical Warrior","Effect Monster",5.999999999999999,"Spellcaster","DARK",1600,1000,"cluster_1"
"Behemoth the King of All Animals","Effect Monster",7,"Beast","EARTH",2700,1500,"cluster_1"
"Fire King High Avatar Garunix","Effect Monster",8,"Winged Beast","FIRE",2700,1700.0000000000002,"cluster_6"
"Megirus Light","Normal Monster",3,"Fiend","DARK",900.0000000000001,600,"cluster_2"
"Naturia Stag Beetle","Effect Monster",5.999999999999999,"Insect","EARTH",2200,1500,"cluster_5"
"Erebus the Underworld Monarch","Effect Monster",8,"Zombie","DARK",2800.0000000000005,1000,"cluster_2"
"Rose Witch","Effect Monster",4,"Plant","EARTH",1600,1000,"cluster_5"
"X-Saber Pashuul","Tuner Monster",2,"Warrior","EARTH",100,0,"cluster_6"
"X-Saber Anu Piranha","Normal Monster",4,"Warrior","EARTH",1800.0000000000002,1100,"cluster_6"
"Goka, the Pyre of Malice","Effect Monster",5.999999999999999,"Zombie","FIRE",2200,1900,"cluster_2"
"Element Doom","Effect Monster",4,"Fiend","DARK",1500,1200,"cluster_2"
"Ritual Beast Tamer Zefrawendi","Pendulum Effect Monster",3,"Psychic","WIND",1500,1000,"cluster_5"
"Key Man the Key Warrior","Effect Monster",2,"Warrior","EARTH",1000,500,"cluster_6"
"Contrast HERO Chaos","Fusion Monster",9,"Warrior","DARK",3000,2600,"cluster_3"
"Spirit Reaper","Effect Monster",3,"Zombie","DARK",300,200,"cluster_2"
"Magical Cavalry of Cxulub","Pendulum Effect Monster",4,"Dinosaur","EARTH",1500,1800.0000000000002,"cluster_5"
"Battlin' Boxer Lead Yoke","XYZ Monster",4,"Warrior","FIRE",2200,2000,"cluster_2"
"Evolsaur Elias","Effect Monster",5.999999999999999,"Dinosaur","FIRE",100,2400,"cluster_5"
"Heavy Mech Support Platform","Union Effect Monster",3,"Machine","DARK",500,500,"cluster_0"
"Wattsquirrel","Effect Monster",3,"Thunder","LIGHT",700.0000000000001,100,"cluster_4"
"Karate Man","Effect Monster",3,"Warrior","EARTH",1000,1000,"cluster_6"
"Igknight Lancer","Effect Monster",7,"Warrior","FIRE",2600,1800.0000000000002,"cluster_2"
"Flamvell Firedog","Effect Monster",4,"Beast","FIRE",1900,200,"cluster_1"
"Montage Dragon","Effect Monster",8,"Dragon","EARTH",0,0,"cluster_5"
"Infernal Incinerator","Effect Monster",5.999999999999999,"Fiend","FIRE",2800.0000000000005,1800.0000000000002,"cluster_2"
"Assault Blackwing - Chidori the Rain Sprinkling","Synchro Monster",7,"Winged Beast","DARK",2600,2000,"cluster_2"
"Performapal Sellshell Crab","Pendulum Effect Monster",5,"Aqua","WATER",500,2500,"cluster_0"
"Ghost Charon, the Underworld Boatman","Tuner Monster",2,"Zombie","DARK",500,0,"cluster_2"
"Senju of the Thousand Hands","Effect Monster",4,"Fairy","LIGHT",1400.0000000000002,1000,"cluster_1"
"Tradetoad","Effect Monster",1,"Aqua","WATER",100,2000,"cluster_4"
"Reborn Zombie","Effect Monster",4,"Zombie","DARK",1000,1600,"cluster_2"
"Infernoid Devyaty","Effect Monster",9,"Fiend","FIRE",2900.0000000000005,2900.0000000000005,"cluster_2"
"CXyz Dark Fairy Cheer Girl","XYZ Monster",5,"Fairy","DARK",2500,1900,"cluster_1"
"Stronghold Guardian","Effect Monster",4,"Warrior","EARTH",0,1500,"cluster_6"
"Gazer Shark","Effect Monster",5,"Fish","WATER",1000,1900,"cluster_1"
"Phoenixian Cluster Amaryllis","Effect Monster",8,"Plant","FIRE",2200,0,"cluster_5"
"Quillbolt Hedgehog","Effect Monster",2,"Machine","EARTH",800,800,"cluster_4"
"Raidraptor - Satellite Cannon Falcon","XYZ Monster",8,"Winged Beast","DARK",3000,2000,"cluster_2"
"Jerry Beans Man","Normal Monster",3,"Plant","EARTH",1750.0000000000002,0,"cluster_5"
"Sea King Dragon","Normal Monster",5.999999999999999,"Sea Serpent","WATER",2000,1700.0000000000002,"cluster_4"
"Mobius the Mega Monarch","Effect Monster",8,"Aqua","WATER",2800.0000000000005,1000,"cluster_4"
"Colossal Fighter","Synchro Monster",8,"Warrior","DARK",2800.0000000000005,1000,"cluster_2"
"Yosenju Kodam","Effect Monster",1,"Beast-Warrior","WIND",0,0,"cluster_4"
"Allure Queen LV5","Effect Monster",5,"Spellcaster","DARK",1000,1000,"cluster_1"
"Strong Wind Dragon","Effect Monster",5.999999999999999,"Dragon","WIND",2400,1000,"cluster_5"
"7 Colored Fish","Normal Monster",4,"Fish","WATER",1800.0000000000002,800,"cluster_1"
"Hazy Flame Basiltrice","XYZ Monster",5.999999999999999,"Pyro","FIRE",2500,1800.0000000000002,"cluster_5"
"Machina Sniper","Effect Monster",4,"Machine","EARTH",1800.0000000000002,800,"cluster_4"
"Arcana Force XXI - The World","Effect Monster",8,"Fairy","LIGHT",3100,3100,"cluster_1"
"Odd-Eyes Gravity Dragon","Ritual Effect Monster",7,"Dragon","EARTH",2800.0000000000005,2500,"cluster_0"
"Bujingi Fox","Effect Monster",4,"Beast","LIGHT",200,2100,"cluster_1"
"Cyber Dragon Core","Effect Monster",2,"Machine","LIGHT",400,1500,"cluster_4"
"Mermail Abysslinde","Effect Monster",3,"Aqua","WATER",1500,1200,"cluster_4"
"Crashbug Y","Effect Monster",3,"Fiend","DARK",1400.0000000000002,1600,"cluster_2"
"Jurrac Protops","Effect Monster",4,"Dinosaur","FIRE",1700.0000000000002,1200,"cluster_5"
"An Owl of Luck","Flip Effect Monster",2,"Winged Beast","WIND",300,500,"cluster_6"
"Cryomancer of the Ice Barrier","Tuner Monster",2,"Aqua","WATER",1300,0,"cluster_4"
"Bujin Arasuda","Effect Monster",4,"Beast-Warrior","LIGHT",1600,1900,"cluster_4"
"Blue-Eyes Ultimate Dragon","Fusion Monster",11.999999999999998,"Dragon","LIGHT",4500,3800,"cluster_0"
"Blue-Eyes Ultimate Dragon","Fusion Monster",11.999999999999998,"Dragon","LIGHT",4500,3800,"cluster_0"
"Igknight Paladin","Pendulum Normal Monster",4,"Warrior","FIRE",1400.0000000000002,1900,"cluster_3"
"Twin-Shield Defender","Effect Monster",4,"Warrior","EARTH",700.0000000000001,1600,"cluster_6"
"Fabled Grimro","Effect Monster",4,"Fiend","LIGHT",1700.0000000000002,1000,"cluster_6"
"Secret Sect Druid Dru","Effect Monster",4,"Spellcaster","DARK",1800.0000000000002,0,"cluster_1"
"Valerifawn, Mystical Beast of the Forest","Tuner Monster",2,"Beast","EARTH",400,900.0000000000001,"cluster_1"
"Ghostrick Nekomusume","Effect Monster",2,"Spellcaster","DARK",400,900.0000000000001,"cluster_1"
"Phantom Magician","Effect Monster",3,"Spellcaster","DARK",600,700.0000000000001,"cluster_1"
"Alien Mother","Effect Monster",5.999999999999999,"Reptile","DARK",2300,1500,"cluster_5"
"Deepsea Warrior","Effect Monster",5,"Warrior","WATER",1600,1800.0000000000002,"cluster_6"
"Igknight Squire","Pendulum Normal Monster",3,"Warrior","FIRE",0,2000,"cluster_3"
"Drill Barnacle","Effect Monster",3,"Aqua","WATER",300,0,"cluster_4"
"A Cat of Ill Omen","Flip Effect Monster",2,"Beast","DARK",500,300,"cluster_1"
"Battlin' Boxer Rib Gardna","Effect Monster",3,"Warrior","FIRE",100,1400.0000000000002,"cluster_2"
"Dorover","Normal Monster",3,"Aqua","WATER",900.0000000000001,800,"cluster_4"
"Unmasked Dragon","Effect Monster",3,"Wyrm","FIRE",1400.0000000000002,1100,"cluster_5"
"Protector of the Sanctuary","Effect Monster",4,"Fiend","EARTH",1100,1900,"cluster_2"
"Overmind Archfiend","Synchro Monster",9,"Psychic","DARK",3300,3000,"cluster_5"
"Ganbara Knight","Effect Monster",4,"Warrior","LIGHT",0,1800.0000000000002,"cluster_6"
"Zoa","Normal Monster",7,"Fiend","DARK",2600,1900,"cluster_2"
"Rescueroid","Effect Monster",5.999999999999999,"Machine","FIRE",1600,1800.0000000000002,"cluster_4"
"Gravekeeper's Spy","Flip Effect Monster",4,"Spellcaster","DARK",1200,2000,"cluster_1"
"Escher the Frost Vassal","Effect Monster",4,"Aqua","WATER",800,1000,"cluster_4"
"The Bewitching Phantom Thief","Normal Monster",2,"Spellcaster","DARK",700.0000000000001,700.0000000000001,"cluster_1"
"Kujakujaku","Effect Monster",3,"Winged Beast","WIND",1200,900.0000000000001,"cluster_6"
"The Suppression Pluto","Effect Monster",8,"Fiend","DARK",2600,2000,"cluster_2"
"Minefieldriller","Effect Monster",4,"Machine","EARTH",1500,1500,"cluster_4"
"Genex Blastfan","Effect Monster",4,"Spellcaster","WIND",1600,1300,"cluster_1"
"Pendulum Machine","Normal Monster",5.999999999999999,"Machine","DARK",1750.0000000000002,2000,"cluster_4"
"Pendulum Machine","Normal Monster",5.999999999999999,"Machine","DARK",1750.0000000000002,2000,"cluster_4"
"Mermaid Knight","Effect Monster",4,"Aqua","WATER",1500,700.0000000000001,"cluster_4"
"D.D. Crow","Effect Monster",1,"Winged Beast","DARK",100,100,"cluster_2"
"Master Kyonshee","Normal Monster",4,"Zombie","EARTH",1750.0000000000002,1000,"cluster_2"
"Lunalight Leo Dancer","Fusion Monster",10,"Beast-Warrior","DARK",3500.0000000000005,3000,"cluster_0"
"Deskbot 008","Pendulum Effect Monster",8,"Machine","EARTH",500,500,"cluster_4"
"Star Drawing","Effect Monster",4,"Spellcaster","EARTH",1600,1000,"cluster_1"
"Ryu-Kishin Powered","Normal Monster",4,"Fiend","DARK",1600,1200,"cluster_2"
"Naturia White Oak","Effect Monster",4,"Plant","EARTH",1800.0000000000002,1400.0000000000002,"cluster_5"
"Galaxy Tyranno","Effect Monster",8,"Dinosaur","LIGHT",2000,0,"cluster_5"
"Cold Enchanter","Effect Monster",4,"Aqua","WATER",1600,1200,"cluster_4"
"Bloom Prima the Melodious Choir","Fusion Monster",7,"Fairy","LIGHT",1900,2000,"cluster_3"
"Naturia Marron","Effect Monster",3,"Plant","EARTH",1200,700.0000000000001,"cluster_5"
"Shooting Star Dragon","Synchro Monster",10,"Dragon","WIND",3300,2500,"cluster_5"
"Nikitama","Spirit Monster",4,"Fairy","LIGHT",800,1800.0000000000002,"cluster_3"
"Electric Virus","Effect Monster",3,"Thunder","LIGHT",1000,1000,"cluster_4"
"Snow Plow Hustle Rustle","Effect Monster",10,"Machine","EARTH",2500,3000,"cluster_4"
"Van'Dalgyon the Dark Dragon Lord","Effect Monster",8,"Dragon","DARK",2800.0000000000005,2500,"cluster_5"
"Chronomaly Nebra Disk","Effect Monster",4,"Machine","LIGHT",1800.0000000000002,1500,"cluster_4"
"Abyss Actor - Leading Lady","Pendulum Effect Monster",4,"Fiend","DARK",1500,1000,"cluster_2"
"Ruffian Railcar","Effect Monster",4,"Machine","EARTH",1800.0000000000002,1000,"cluster_4"
"T.G. Power Gladiator","Synchro Monster",5,"Warrior","EARTH",2300,1000,"cluster_6"
"Wattkiwi","Tuner Monster",3,"Thunder","LIGHT",600,100,"cluster_4"
"Decoyroid","Effect Monster",2,"Machine","WIND",300,500,"cluster_4"
"The Little Swordsman of Aile","Effect Monster",3,"Warrior","WATER",800,1300,"cluster_6"
"YZ-Tank Dragon","Fusion Monster",5.999999999999999,"Machine","LIGHT",2100,2200,"cluster_0"
"Light End Dragon","Synchro Monster",8,"Dragon","LIGHT",2600,2100,"cluster_5"
"Junk Anchor","Tuner Monster",2,"Warrior","EARTH",0,0,"cluster_6"
"Chronomaly Mayan Machine","Effect Monster",3,"Machine","EARTH",1500,700.0000000000001,"cluster_4"
"Life Stream Dragon","Synchro Tuner Monster",8,"Dragon","EARTH",2900.0000000000005,2400,"cluster_0"
"Infernity Dwarf","Effect Monster",2,"Warrior","DARK",800,500,"cluster_2"
"Interplanetarypurplythorny Dragon","Effect Monster",5,"Dragon","DARK",2200,1100,"cluster_5"
"Rare Metal Dragon","Effect Monster",4,"Dragon","DARK",2400,1200,"cluster_5"
"Yosenju Tsujik","Effect Monster",4,"Beast-Warrior","WIND",1000,0,"cluster_4"
"Big Piece Golem","Effect Monster",5,"Rock","EARTH",2100,0,"cluster_6"
"Goblindbergh","Effect Monster",4,"Warrior","EARTH",1400.0000000000002,0,"cluster_6"
"Gravekeeper's Assailant","Effect Monster",4,"Spellcaster","DARK",1500,1500,"cluster_1"
"Legion the Fiend Jester","Effect Monster",4,"Spellcaster","DARK",1300,1500,"cluster_1"
"Darklord Nasten","Effect Monster",7,"Fairy","DARK",2600,2600,"cluster_1"
"Maestroke the Symphony Djinn","XYZ Monster",4,"Fiend","DARK",1800.0000000000002,2300,"cluster_2"
"Hushed Psychic Cleric","Effect Monster",3,"Psychic","EARTH",0,2100,"cluster_5"
"Spirit of the Pharaoh","Effect Monster",5.999999999999999,"Zombie","LIGHT",2500,2000,"cluster_6"
"Elemental HERO Shining Flare Wingman","Fusion Monster",8,"Warrior","LIGHT",2500,2100,"cluster_3"
"Vortex the Whirlwind","Synchro Monster",5,"Winged Beast","WIND",2100,700.0000000000001,"cluster_6"
"Darklord Morningstar","Effect Monster",11,"Fairy","DARK",3000,3000,"cluster_1"
"Darkflare Dragon","Effect Monster",5,"Dragon","DARK",2400,1200,"cluster_5"
"Wind-Up Shark","Effect Monster",4,"Fish","WATER",1500,1300,"cluster_1"
"Deskbot 009","Effect Monster",9,"Machine","EARTH",500,500,"cluster_4"
"Gravekeeper's Oracle","Effect Monster",10,"Spellcaster","DARK",2000,1500,"cluster_1"
"Magicat","Effect Monster",2,"Spellcaster","LIGHT",600,500,"cluster_1"
"Blowback Dragon","Effect Monster",5.999999999999999,"Machine","DARK",2300,1200,"cluster_4"
"Abyss Actor - Superstar","Pendulum Effect Monster",7,"Fiend","DARK",2500,1800.0000000000002,"cluster_2"
"Queen's Knight","Normal Monster",4,"Warrior","LIGHT",1500,1600,"cluster_6"
"Changer Synchron","Tuner Monster",1,"Machine","DARK",0,0,"cluster_4"
"Naturia Spiderfang","Effect Monster",4,"Insect","EARTH",2100,400,"cluster_5"
"Bickuribox","Fusion Monster",7,"Fiend","DARK",2300,2000,"cluster_3"
"Dragunity Knight - Barcha","Synchro Monster",8,"Dragon","WIND",2000,1200,"cluster_5"
"Wind-Up Kitten","Effect Monster",2,"Beast","EARTH",800,500,"cluster_1"
"Master Craftsman Gamil","Effect Monster",2,"Pyro","FIRE",200,200,"cluster_5"
"Ally of Justice Garadholg","Effect Monster",4,"Machine","DARK",1600,400,"cluster_4"
"Legendary Jujitsu Master","Effect Monster",3,"Rock","EARTH",1300,1800.0000000000002,"cluster_6"
"Risebell the Star Adjuster","Effect Monster",3,"Psychic","WIND",800,800,"cluster_5"
"Windwitch - Crystal Bell","Fusion Monster",8,"Spellcaster","WIND",2800.0000000000005,2400,"cluster_3"
"Al-Lumi'raj","Tuner Monster",3,"Wyrm","WIND",1600,1000,"cluster_5"
"Infernoid Piaty","Effect Monster",5,"Fiend","FIRE",2200,0,"cluster_2"
"Sylvan Hermitree","Effect Monster",8,"Plant","FIRE",2700,1800.0000000000002,"cluster_5"
"Gate Guardian","Effect Monster",11,"Warrior","DARK",3750,3400.0000000000005,"cluster_2"
"Kahkki, Guerilla of Dark World","Effect Monster",2,"Fiend","DARK",300,500,"cluster_2"
"Nekroz of Valkyrus","Ritual Effect Monster",8,"Spellcaster","WATER",2900.0000000000005,1700.0000000000002,"cluster_3"
"Ancient Fairy Dragon","Synchro Monster",7,"Dragon","LIGHT",2100,3000,"cluster_5"
"Naturia Stinkbug","Tuner Monster",3,"Insect","EARTH",200,500,"cluster_5"
"Dokuroizo the Grim Reaper","Normal Monster",3,"Zombie","DARK",900.0000000000001,1200,"cluster_2"
"Alien Skull","Effect Monster",4,"Reptile","WIND",1600,1800.0000000000002,"cluster_5"
"Gladiator Beast Darius","Effect Monster",4,"Beast-Warrior","EARTH",1700.0000000000002,300,"cluster_4"
"Jiaotu, Darkness of the Yang Zing","Tuner Monster",2,"Wyrm","DARK",0,2000,"cluster_5"
"Sanga of the Thunder","Effect Monster",7,"Thunder","LIGHT",2600,2200,"cluster_4"
"Ancient Sacred Wyvern","Synchro Monster",7,"Fairy","LIGHT",2100,2000,"cluster_1"
"Dragunity Partisan","Tuner Monster",2,"Dragon","WIND",1200,800,"cluster_5"
"Madolche Marmalmaide","Effect Monster",4,"Spellcaster","EARTH",800,2000,"cluster_1"
"Infernoid Antra","Effect Monster",2,"Fiend","FIRE",0,2000,"cluster_2"
"Vengeful Shinobi","Effect Monster",2,"Warrior","DARK",400,800,"cluster_2"
"Satellarknight Betelgeuse","Effect Monster",4,"Warrior","LIGHT",700.0000000000001,1900,"cluster_6"
"Gagaga Magician","Effect Monster",4,"Spellcaster","DARK",1500,1000,"cluster_1"
"Invasion of Flames","Effect Monster",3,"Pyro","FIRE",1300,1200,"cluster_5"
"Gravekeeper's Watcher","Effect Monster",4,"Spellcaster","DARK",1000,1000,"cluster_1"
"Iron Chain Blaster","Effect Monster",2,"Warrior","EARTH",1100,0,"cluster_6"
"Pinch Hopper","Effect Monster",4,"Insect","EARTH",1000,1200,"cluster_5"
"Sangan","Effect Monster",3,"Fiend","DARK",1000,600,"cluster_2"
"Thestalos the Firestorm Monarch","Effect Monster",5.999999999999999,"Pyro","FIRE",2400,1000,"cluster_5"
"Inzektor Exa-Stag","XYZ Monster",5,"Insect","DARK",800,800,"cluster_5"
"Gemini Lancer","Gemini Monster",4,"Sea Serpent","WATER",1800.0000000000002,1400.0000000000002,"cluster_0"
"Stardust Sifr Divine Dragon","Synchro Monster",11.999999999999998,"Dragon","LIGHT",4000,4000,"cluster_5"
"Performapal Silver Claw","Pendulum Effect Monster",4,"Beast","DARK",1800.0000000000002,800,"cluster_3"
"Burning Skull Head","Effect Monster",3,"Zombie","FIRE",1000,800,"cluster_2"
"Blast Sphere","Effect Monster",4,"Machine","DARK",1400.0000000000002,1400.0000000000002,"cluster_4"
"Ancient Flamvell Deity","Synchro Monster",7,"Pyro","FIRE",2500,200,"cluster_5"
"Constellar Omega","XYZ Monster",4,"Beast-Warrior","LIGHT",2400,500,"cluster_4"
"Copycat","Effect Monster",1,"Spellcaster","LIGHT",0,0,"cluster_1"
"Rude Kaiser","Normal Monster",5,"Beast-Warrior","EARTH",1800.0000000000002,1600,"cluster_4"
"Soaring Eagle Above the Searing Land","Tuner Monster",1,"Winged Beast","FIRE",100,0,"cluster_6"
"Tidal, Dragon Ruler of Waterfalls","Effect Monster",7,"Dragon","WATER",2600,2000,"cluster_5"
"Proto-Cyber Dragon","Effect Monster",3,"Machine","LIGHT",1100,600,"cluster_4"
"Vampire Lady","Effect Monster",4,"Zombie","DARK",1550,1550,"cluster_2"
"Spirit of the Fall Wind","Effect Monster",4,"Fairy","WIND",1800.0000000000002,900.0000000000001,"cluster_1"
"Muzurhythm the String Djinn","XYZ Monster",3,"Fiend","WIND",1500,1000,"cluster_6"
"Fiend Scorpion","Normal Monster",2,"Insect","EARTH",900.0000000000001,200,"cluster_5"
"Madolche Chickolates","Effect Monster",3,"Beast","EARTH",800,1500,"cluster_1"
"Ally of Justice Catastor","Synchro Monster",5,"Machine","DARK",2200,1200,"cluster_4"
"Metrognome","Pendulum Effect Monster",4,"Fairy","EARTH",1800.0000000000002,1600,"cluster_3"
"Sage of Silence","Effect Monster",4,"Spellcaster","LIGHT",1400.0000000000002,1000,"cluster_1"
"Nekroz of Brionac","Ritual Effect Monster",5.999999999999999,"Warrior","WATER",2300,1400.0000000000002,"cluster_3"
"Card Ejector","Effect Monster",3,"Spellcaster","EARTH",400,400,"cluster_1"
"The Fabled Kokkator","Effect Monster",4,"Beast","LIGHT",1700.0000000000002,1500,"cluster_1"
"Steelswarm Gatekeeper","Effect Monster",4,"Fiend","DARK",1500,1900,"cluster_2"
"Justice of Prophecy","Effect Monster",3,"Spellcaster","EARTH",1600,800,"cluster_1"
"Blackwing - Ghibli the Searing Wind","Effect Monster",3,"Winged Beast","DARK",0,1600,"cluster_2"
"Justice Bringer","Effect Monster",4,"Warrior","EARTH",1700.0000000000002,1000,"cluster_6"
"Heroic Challenger - War Hammer","Effect Monster",5.999999999999999,"Warrior","EARTH",2100,1300,"cluster_6"
"Javelin Beetle","Ritual Monster",8,"Insect","EARTH",2450.0000000000005,2550,"cluster_0"
"Mecha Phantom Beast Jaculuslan","Synchro Monster",9,"Machine","WIND",2700,2000,"cluster_4"
"Destiny HERO - Dark Angel","Effect Monster",1,"Warrior","DARK",0,0,"cluster_2"
"Atlantean Pikeman","Normal Monster",2,"Sea Serpent","WATER",1400.0000000000002,0,"cluster_4"
"X-Saber Uruz","Effect Monster",4,"Beast-Warrior","EARTH",1600,1000,"cluster_4"
"Gem-Armadillo","Effect Monster",4,"Rock","EARTH",1700.0000000000002,500,"cluster_6"
"Firewing Pegasus","Normal Monster",5.999999999999999,"Beast","FIRE",2250,1800.0000000000002,"cluster_1"
"Graveyard and the Hand of Invitation","Normal Monster",3,"Zombie","DARK",700.0000000000001,900.0000000000001,"cluster_2"
"Wicked Acolyte Chilam Sabak","Effect Monster",8,"Reptile","DARK",2500,0,"cluster_5"
"Thousand-Eyes Idol","Normal Monster",1,"Spellcaster","DARK",0,0,"cluster_1"
"Gem-Knight Sapphire","Normal Monster",4,"Aqua","EARTH",0,2100,"cluster_4"
"Fire Sorcerer","Flip Effect Monster",4,"Spellcaster","FIRE",1000,1500,"cluster_1"
"Master of Oz","Fusion Monster",9,"Beast","EARTH",4200,3700,"cluster_3"
"Dino-Sewing","Effect Monster",4,"Fiend","EARTH",0,0,"cluster_2"
"Cheepcheepcheep","Effect Monster",1,"Winged Beast","WIND",300,200,"cluster_6"
"Apoqliphort Towers","Effect Monster",10,"Machine","EARTH",3000,2600,"cluster_4"
"Mokey Mokey","Normal Monster",1,"Fairy","LIGHT",300,100,"cluster_1"
"Mist Wurm","Synchro Monster",9,"Thunder","WIND",2500,1500,"cluster_4"
"Wattkid","Normal Monster",3,"Thunder","LIGHT",1000,500,"cluster_4"
"Hieratic Dragon King of Atum","XYZ Monster",5.999999999999999,"Dragon","LIGHT",2400,2100,"cluster_5"
"Gladiator Beast Heraklinos","Fusion Monster",8,"Beast-Warrior","FIRE",3000,2800.0000000000005,"cluster_0"
"Lightray Grepher","Effect Monster",4,"Warrior","LIGHT",1700.0000000000002,1600,"cluster_6"
"Golden Homunculus","Effect Monster",5.999999999999999,"Warrior","LIGHT",1500,1500,"cluster_6"
"Stream, Dragon Ruler of Droplets","Effect Monster",4,"Dragon","WATER",1600,2000,"cluster_5"
"Shiba-Warrior Taro","Tuner Monster",2,"Beast-Warrior","EARTH",800,600,"cluster_4"
"Cosmic Compass","Effect Monster",1,"Machine","EARTH",100,300,"cluster_4"
"Ghostrick Witch","Effect Monster",2,"Spellcaster","DARK",1200,200,"cluster_1"
"Secret Guards of the Ice Barrier","Effect Monster",2,"Aqua","WATER",100,1600,"cluster_4"
"Beatrice, Lady of the Eternal","XYZ Monster",5.999999999999999,"Fairy","LIGHT",2500,2800.0000000000005,"cluster_1"
"The Unhappy Girl","Effect Monster",2,"Spellcaster","LIGHT",400,300,"cluster_1"
"Altitude Knight","Effect Monster",4,"Warrior","WIND",1400.0000000000002,1200,"cluster_6"
"Skreech","Effect Monster",4,"Reptile","WATER",1500,400,"cluster_5"
"Speedroid Tri-Eyed Dice","Tuner Monster",3,"Machine","WIND",300,1500,"cluster_4"
"Lightning Conger","Normal Monster",3,"Thunder","WATER",350.00000000000006,750,"cluster_4"
"Yokotuner","Tuner Monster",1,"Beast","EARTH",800,600,"cluster_1"
"Superheavy Samurai Soulbeads","Effect Monster",1,"Machine","EARTH",0,0,"cluster_4"
"Naturia Beetle","Effect Monster",4,"Insect","EARTH",400,1800.0000000000002,"cluster_5"
"Tualatin","Effect Monster",8,"Fairy","LIGHT",2800.0000000000005,2500,"cluster_1"
"The Six Samurai - Irou","Effect Monster",4,"Warrior","DARK",1700.0000000000002,1200,"cluster_2"
"Great Sorcerer of the Nekroz","Effect Monster",4,"Spellcaster","WATER",1500,800,"cluster_1"
"Genex Ally Crusher","Effect Monster",4,"Machine","DARK",1000,2000,"cluster_4"
"Shadowpriestess of Ohm","Effect Monster",4,"Spellcaster","DARK",1700.0000000000002,1600,"cluster_1"
"Pursuit Chaser","Effect Monster",3,"Machine","EARTH",1400.0000000000002,600,"cluster_4"
"Parasite Paracide","Flip Effect Monster",2,"Insect","EARTH",500,300,"cluster_5"
"Harpie Lady 2","Effect Monster",4,"Winged Beast","WIND",1300,1400.0000000000002,"cluster_6"
