Name,Type,Level,Race,Attribute,ATK,DEF
Sylvan Princessprout,Effect Monster,1,Plant,LIGHT,100,100
Exploder Dragon,Effect Monster,3,Dragon,EARTH,1000,0
Peacock,Normal Monster,5,Winged Beast,WIND,1700,1500
Spellstone Sorcerer Karood,Effect Monster,3,Spellcaster,LIGHT,800,1900
Substitoad,Effect Monster,1,Aqua,WATER,100,2000
Pilgrim of the Ice Barrier,Effect Monster,4,Warrior,WATER,1500,1000
Elemental HERO Sparkman,Normal Monster,4,Warrior,LIGHT,1600,1400
Elemental HERO Sparkman,Normal Monster,4,Warrior,LIGHT,1600,1400
Berry Magician Girl,Effect Monster,1,Spellcaster,EARTH,400,400
"Graff, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1000,1500
"Zefraxa, Flame Beast of the Nekroz",Pendulum Effect Monster,5,Dragon,FIRE,2000,1000
Tricular,Effect Monster,3,Machine,EARTH,300,300
Lizard Soldier,Normal Monster,3,Dragon,WIND,1100,800
Shark Stickers,Effect Monster,3,Fish,WATER,200,1000
Ice Water,Normal Monster,3,Aqua,WATER,1150,900
Kozmo Forerunner,Effect Monster,7,Machine,LIGHT,2800,1400
Evoltile Pleuro,Effect Monster,1,Reptile,FIRE,200,200
Quickdraw Synchron,Tuner Monster,5,Machine,WIND,700,1400
Shadowslayer,Effect Monster,4,Fiend,DARK,1400,200
Voltanis the Adjudicator,Effect Monster,8,Fairy,LIGHT,2800,1400
Hayabusa Knight,Effect Monster,3,Warrior,EARTH,1000,700
Abyss Dweller,XYZ Monster,4,Sea Serpent,WATER,1700,1400
Blast Magician,Effect Monster,4,Spellcaster,FIRE,1400,1700
Acorno,Effect Monster,1,Plant,EARTH,200,400
Herald of Green Light,Effect Monster,2,Fairy,LIGHT,300,500
Spy-C-Spy,Effect Monster,3,Warrior,FIRE,1200,1300
Nekroz of Sophia,Ritual Effect Monster,11,Spellcaster,LIGHT,3600,3400
Supreme Arcanite Magician,Fusion Monster,10,Spellcaster,LIGHT,1400,2800
Red Nova,Tuner Monster,1,Fairy,FIRE,0,0
Goggle Golem,Gemini Monster,4,Rock,EARTH,1500,500
Majestic Dragon,Tuner Monster,1,Dragon,LIGHT,0,0
St. Joan,Fusion Monster,7,Fairy,LIGHT,2800,2000
The Wicked Avatar,Effect Monster,10,Fiend,DARK,0,0
"Artorigus, King of the Noble Knights",XYZ Monster,4,Warrior,LIGHT,2000,2000
Bone Mouse,Normal Monster,1,Zombie,DARK,400,300
Dragunity Knight - Vajrayana,Synchro Monster,6,Dragon,WIND,1900,1200
Odd-Eyes Persona Dragon,Pendulum Effect Monster,5,Dragon,DARK,1200,2400
Pale Beast,Normal Monster,4,Beast,EARTH,1500,1200
Unibird,Effect Monster,2,Winged Beast,WIND,100,600
Toon Dark Magician,Toon Monster,7,Spellcaster,DARK,2500,2100
Hysteric Fairy,Effect Monster,4,Fairy,LIGHT,1800,500
Boar Soldier,Effect Monster,4,Beast-Warrior,EARTH,2000,500
Rainbow Flower,Effect Monster,2,Plant,EARTH,400,500
Beast Striker,Effect Monster,4,Beast,EARTH,1850,400
Familiar-Possessed - Dharc,Effect Monster,4,Spellcaster,DARK,1850,1500
Prominence Hand,Effect Monster,4,Pyro,FIRE,600,2000
Dark Elf,Effect Monster,4,Spellcaster,DARK,2000,800
Dragocytos Corrupted Nethersoul Dragon,Synchro Monster,10,Dragon,DARK,4000,2000
Aroma Jar,Flip Effect Monster,1,Rock,WIND,500,400
Psychic Commander,Tuner Monster,3,Psychic,EARTH,1400,800
"Zefraxi, Treasure of the Yang Zing",Pendulum Effect Monster,3,Wyrm,EARTH,1500,0
Evigishki Tetrogre,Ritual Effect Monster,6,Aqua,WATER,2600,2100
"Cairngorgon, Antiluminescent Knight",XYZ Monster,4,Rock,DARK,2450,1950
"Ryko, Lightsworn Hunter",Flip Effect Monster,2,Beast,LIGHT,200,100
Mahunder,Effect Monster,4,Thunder,LIGHT,1400,700
"Neptabyss, the Atlantean Prince",Effect Monster,1,Sea Serpent,WATER,800,0
Makyura the Destructor,Effect Monster,4,Warrior,DARK,1600,1200
Flamvell Guard,Normal Tuner Monster,1,Dragon,FIRE,100,2000
Pain Painter,Tuner Monster,2,Zombie,DARK,400,200
Emperor Sem,Effect Monster,4,Fiend,LIGHT,1300,2200
Crystal Beast Cobalt Eagle,Effect Monster,4,Winged Beast,WIND,1400,800
Mermail Abyssmander,Effect Monster,4,Fish,WATER,100,2000
Flower Cardian Maple with Deer,Effect Monster,10,Warrior,DARK,1000,1000
"Gragonith, Lightsworn Dragon",Effect Monster,6,Dragon,LIGHT,2000,1600
Inzektor Centipede,Effect Monster,3,Insect,DARK,1600,1200
Mega Thunderball,Normal Monster,2,Thunder,WIND,750,600
Elemental HERO Avian,Normal Monster,3,Warrior,WIND,1000,1000
Elemental HERO Avian,Normal Monster,3,Warrior,WIND,1000,1000
Getsu Fuhma,Effect Monster,4,Warrior,DARK,1700,1200
Evil HERO Lightning Golem,Fusion Monster,6,Fiend,LIGHT,2400,1500
Mermail Abyssmegalo,Effect Monster,7,Sea Serpent,WATER,2400,1900
Dragon Horn Hunter,Pendulum Normal Monster,6,Warrior,DARK,2300,1000
Inzektor Giga-Weevil,Effect Monster,6,Insect,DARK,0,2600
Cipher Twin Raptor,Effect Monster,4,Machine,LIGHT,1600,800
Steelswarm Moth,Effect Monster,6,Fiend,DARK,2400,0
Predaplant Moray Nepenthes,Effect Monster,4,Plant,DARK,1600,1000
Curtain of the Dark Ones,Normal Monster,2,Spellcaster,DARK,600,500
Vampire Genesis,Effect Monster,8,Zombie,DARK,3000,2100
Elemental HERO The Shining,Fusion Monster,8,Warrior,LIGHT,2600,2100
Mermail Abyssturge,Effect Monster,4,Fish,WATER,1700,1100
Performapal Spikeagle,Effect Monster,2,Winged Beast,WIND,900,900
Masked HERO Divine Wind,Fusion Monster,8,Warrior,WIND,2700,1900
Mecha Phantom Beast Dracossack,XYZ Monster,7,Machine,WIND,2600,2200
Gravekeeper's Ambusher,Effect Monster,4,Spellcaster,DARK,1700,0
Evil HERO Inferno Wing,Fusion Monster,6,Fiend,FIRE,2100,1200
Doctor Cranium,Effect Monster,1,Psychic,EARTH,100,100
Aromage Cananga,Effect Monster,3,Plant,EARTH,1400,1000
Hypnosister,Effect Monster,4,Psychic,WIND,1300,1400
Deskbot 004,Effect Monster,4,Machine,EARTH,500,500
Uni-Horned Familiar,Tuner Monster,2,Beast,LIGHT,0,1000
Wightmare,Effect Monster,1,Zombie,DARK,300,200
Ally of Justice Unknown Crusher,Effect Monster,3,Machine,DARK,1200,800
Aquarian Alessa,Gemini Monster,4,Aqua,WATER,1500,500
Garum the Storm Vassal,Effect Monster,3,Winged Beast,WIND,800,1000
Aurora Paragon,Effect Monster,4,Fairy,LIGHT,1500,1000
Mithra the Thunder Vassal,Effect Monster,2,Thunder,LIGHT,800,1000
Fairy Guardian,Effect Monster,3,Fairy,WIND,1000,1000
Mermail Abyssteus,Effect Monster,7,Aqua,WATER,1700,2400
Venom Cobra,Normal Monster,4,Reptile,EARTH,100,2000
Mechanical Hound,Effect Monster,7,Machine,EARTH,2800,1500
Masked Ninja Ebisu,Effect Monster,4,Warrior,WIND,1200,1800
Magic Hand,Effect Monster,4,Spellcaster,DARK,800,1600
Nimble Momonga,Effect Monster,2,Beast,EARTH,1000,100
Hydrogeddon,Effect Monster,4,Dinosaur,WATER,1600,1000
Mataza the Zapper,Effect Monster,3,Warrior,DARK,1300,800
Stellarknight Zefraxciton,Pendulum Effect Monster,4,Fiend,LIGHT,1900,0
"Lyla, Lightsworn Sorceress",Effect Monster,4,Spellcaster,LIGHT,1700,200
"Dinoster Power, the Mighty Dracoslayer",Fusion Monster,8,Dragon,WATER,2000,2950
Lightning Chidori,XYZ Monster,4,Thunder,WIND,1900,1600
"Isolde, Belle of the Underworld",Effect Monster,4,Zombie,DARK,1000,0
Commander Covington,Effect Monster,4,Machine,EARTH,1000,600
Small Piece Golem,Effect Monster,3,Rock,EARTH,1100,0
B.E.S. Crystal Core,Effect Monster,5,Machine,WATER,2100,1000
Deep-Eyes White Dragon,Effect Monster,10,Dragon,LIGHT,0,0
Doom Virus Dragon,Fusion Monster,4,Dragon,DARK,1900,1500
Earth Armor Ninja,Effect Monster,5,Warrior,EARTH,1600,1200
Blackwing - Blizzard the Far North,Tuner Monster,2,Winged Beast,DARK,1300,0
Mist Valley Soldier,Tuner Monster,4,Winged Beast,WIND,1700,300
Sea Lancer,Effect Monster,5,Beast-Warrior,WATER,1300,1000
Fiend Sword,Normal Monster,4,Warrior,DARK,1400,800
Zeman the Ape King,Synchro Monster,7,Beast,EARTH,2500,1800
Hyena,Effect Monster,3,Beast,EARTH,1000,300
Green Phantom King,Normal Monster,3,Plant,EARTH,500,1600
Breaker the Dark Magical Warrior,Effect Monster,6,Spellcaster,DARK,1600,1000
Behemoth the King of All Animals,Effect Monster,7,Beast,EARTH,2700,1500
Fire King High Avatar Garunix,Effect Monster,8,Winged Beast,FIRE,2700,1700
Megirus Light,Normal Monster,3,Fiend,DARK,900,600
Naturia Stag Beetle,Effect Monster,6,Insect,EARTH,2200,1500
Erebus the Underworld Monarch,Effect Monster,8,Zombie,DARK,2800,1000
Rose Witch,Effect Monster,4,Plant,EARTH,1600,1000
X-Saber Pashuul,Tuner Monster,2,Warrior,EARTH,100,0
X-Saber Anu Piranha,Normal Monster,4,Warrior,EARTH,1800,1100
"Goka, the Pyre of Malice",Effect Monster,6,Zombie,FIRE,2200,1900
Element Doom,Effect Monster,4,Fiend,DARK,1500,1200
Ritual Beast Tamer Zefrawendi,Pendulum Effect Monster,3,Psychic,WIND,1500,1000
Key Man the Key Warrior,Effect Monster,2,Warrior,EARTH,1000,500
Contrast HERO Chaos,Fusion Monster,9,Warrior,DARK,3000,2600
Spirit Reaper,Effect Monster,3,Zombie,DARK,300,200
Magical Cavalry of Cxulub,Pendulum Effect Monster,4,Dinosaur,EARTH,1500,1800
Battlin' Boxer Lead Yoke,XYZ Monster,4,Warrior,FIRE,2200,2000
Evolsaur Elias,Effect Monster,6,Dinosaur,FIRE,100,2400
Heavy Mech Support Platform,Union Effect Monster,3,Machine,DARK,500,500
Wattsquirrel,Effect Monster,3,Thunder,LIGHT,700,100
Karate Man,Effect Monster,3,Warrior,EARTH,1000,1000
Igknight Lancer,Effect Monster,7,Warrior,FIRE,2600,1800
Flamvell Firedog,Effect Monster,4,Beast,FIRE,1900,200
Montage Dragon,Effect Monster,8,Dragon,EARTH,0,0
Infernal Incinerator,Effect Monster,6,Fiend,FIRE,2800,1800
Assault Blackwing - Chidori the Rain Sprinkling,Synchro Monster,7,Winged Beast,DARK,2600,2000
Performapal Sellshell Crab,Pendulum Effect Monster,5,Aqua,WATER,500,2500
"Ghost Charon, the Underworld Boatman",Tuner Monster,2,Zombie,DARK,500,0
Senju of the Thousand Hands,Effect Monster,4,Fairy,LIGHT,1400,1000
Tradetoad,Effect Monster,1,Aqua,WATER,100,2000
Reborn Zombie,Effect Monster,4,Zombie,DARK,1000,1600
Infernoid Devyaty,Effect Monster,9,Fiend,FIRE,2900,2900
CXyz Dark Fairy Cheer Girl,XYZ Monster,5,Fairy,DARK,2500,1900
Stronghold Guardian,Effect Monster,4,Warrior,EARTH,0,1500
Gazer Shark,Effect Monster,5,Fish,WATER,1000,1900
Phoenixian Cluster Amaryllis,Effect Monster,8,Plant,FIRE,2200,0
Quillbolt Hedgehog,Effect Monster,2,Machine,EARTH,800,800
Raidraptor - Satellite Cannon Falcon,XYZ Monster,8,Winged Beast,DARK,3000,2000
Jerry Beans Man,Normal Monster,3,Plant,EARTH,1750,0
Sea King Dragon,Normal Monster,6,Sea Serpent,WATER,2000,1700
Mobius the Mega Monarch,Effect Monster,8,Aqua,WATER,2800,1000
Colossal Fighter,Synchro Monster,8,Warrior,DARK,2800,1000
Yosenju Kodam,Effect Monster,1,Beast-Warrior,WIND,0,0
Allure Queen LV5,Effect Monster,5,Spellcaster,DARK,1000,1000
Strong Wind Dragon,Effect Monster,6,Dragon,WIND,2400,1000
7 Colored Fish,Normal Monster,4,Fish,WATER,1800,800
Hazy Flame Basiltrice,XYZ Monster,6,Pyro,FIRE,2500,1800
Machina Sniper,Effect Monster,4,Machine,EARTH,1800,800
Arcana Force XXI - The World,Effect Monster,8,Fairy,LIGHT,3100,3100
Odd-Eyes Gravity Dragon,Ritual Effect Monster,7,Dragon,EARTH,2800,2500
Bujingi Fox,Effect Monster,4,Beast,LIGHT,200,2100
Cyber Dragon Core,Effect Monster,2,Machine,LIGHT,400,1500
Mermail Abysslinde,Effect Monster,3,Aqua,WATER,1500,1200
Crashbug Y,Effect Monster,3,Fiend,DARK,1400,1600
Jurrac Protops,Effect Monster,4,Dinosaur,FIRE,1700,1200
An Owl of Luck,Flip Effect Monster,2,Winged Beast,WIND,300,500
Cryomancer of the Ice Barrier,Tuner Monster,2,Aqua,WATER,1300,0
Bujin Arasuda,Effect Monster,4,Beast-Warrior,LIGHT,1600,1900
Blue-Eyes Ultimate Dragon,Fusion Monster,12,Dragon,LIGHT,4500,3800
Blue-Eyes Ultimate Dragon,Fusion Monster,12,Dragon,LIGHT,4500,3800
Igknight Paladin,Pendulum Normal Monster,4,Warrior,FIRE,1400,1900
Twin-Shield Defender,Effect Monster,4,Warrior,EARTH,700,1600
Fabled Grimro,Effect Monster,4,Fiend,LIGHT,1700,1000
Secret Sect Druid Dru,Effect Monster,4,Spellcaster,DARK,1800,0
"Valerifawn, Mystical Beast of the Forest",Tuner Monster,2,Beast,EARTH,400,900
Ghostrick Nekomusume,Effect Monster,2,Spellcaster,DARK,400,900
Phantom Magician,Effect Monster,3,Spellcaster,DARK,600,700
Alien Mother,Effect Monster,6,Reptile,DARK,2300,1500
Deepsea Warrior,Effect Monster,5,Warrior,WATER,1600,1800
Igknight Squire,Pendulum Normal Monster,3,Warrior,FIRE,0,2000
Drill Barnacle,Effect Monster,3,Aqua,WATER,300,0
A Cat of Ill Omen,Flip Effect Monster,2,Beast,DARK,500,300
Battlin' Boxer Rib Gardna,Effect Monster,3,Warrior,FIRE,100,1400
Dorover,Normal Monster,3,Aqua,WATER,900,800
Unmasked Dragon,Effect Monster,3,Wyrm,FIRE,1400,1100
Protector of the Sanctuary,Effect Monster,4,Fiend,EARTH,1100,1900
Overmind Archfiend,Synchro Monster,9,Psychic,DARK,3300,3000
Ganbara Knight,Effect Monster,4,Warrior,LIGHT,0,1800
Zoa,Normal Monster,7,Fiend,DARK,2600,1900
Rescueroid,Effect Monster,6,Machine,FIRE,1600,1800
Gravekeeper's Spy,Flip Effect Monster,4,Spellcaster,DARK,1200,2000
Escher the Frost Vassal,Effect Monster,4,Aqua,WATER,800,1000
The Bewitching Phantom Thief,Normal Monster,2,Spellcaster,DARK,700,700
Kujakujaku,Effect Monster,3,Winged Beast,WIND,1200,900
The Suppression Pluto,Effect Monster,8,Fiend,DARK,2600,2000
Minefieldriller,Effect Monster,4,Machine,EARTH,1500,1500
Genex Blastfan,Effect Monster,4,Spellcaster,WIND,1600,1300
Pendulum Machine,Normal Monster,6,Machine,DARK,1750,2000
Pendulum Machine,Normal Monster,6,Machine,DARK,1750,2000
Mermaid Knight,Effect Monster,4,Aqua,WATER,1500,700
D.D. Crow,Effect Monster,1,Winged Beast,DARK,100,100
Master Kyonshee,Normal Monster,4,Zombie,EARTH,1750,1000
Lunalight Leo Dancer,Fusion Monster,10,Beast-Warrior,DARK,3500,3000
Deskbot 008,Pendulum Effect Monster,8,Machine,EARTH,500,500
Star Drawing,Effect Monster,4,Spellcaster,EARTH,1600,1000
Ryu-Kishin Powered,Normal Monster,4,Fiend,DARK,1600,1200
Naturia White Oak,Effect Monster,4,Plant,EARTH,1800,1400
Galaxy Tyranno,Effect Monster,8,Dinosaur,LIGHT,2000,0
Cold Enchanter,Effect Monster,4,Aqua,WATER,1600,1200
Bloom Prima the Melodious Choir,Fusion Monster,7,Fairy,LIGHT,1900,2000
Naturia Marron,Effect Monster,3,Plant,EARTH,1200,700
Shooting Star Dragon,Synchro Monster,10,Dragon,WIND,3300,2500
Nikitama,Spirit Monster,4,Fairy,LIGHT,800,1800
Electric Virus,Effect Monster,3,Thunder,LIGHT,1000,1000
Snow Plow Hustle Rustle,Effect Monster,10,Machine,EARTH,2500,3000
Van'Dalgyon the Dark Dragon Lord,Effect Monster,8,Dragon,DARK,2800,2500
Chronomaly Nebra Disk,Effect Monster,4,Machine,LIGHT,1800,1500
Abyss Actor - Leading Lady,Pendulum Effect Monster,4,Fiend,DARK,1500,1000
Ruffian Railcar,Effect Monster,4,Machine,EARTH,1800,1000
T.G. Power Gladiator,Synchro Monster,5,Warrior,EARTH,2300,1000
Wattkiwi,Tuner Monster,3,Thunder,LIGHT,600,100
Decoyroid,Effect Monster,2,Machine,WIND,300,500
The Little Swordsman of Aile,Effect Monster,3,Warrior,WATER,800,1300
YZ-Tank Dragon,Fusion Monster,6,Machine,LIGHT,2100,2200
Light End Dragon,Synchro Monster,8,Dragon,LIGHT,2600,2100
Junk Anchor,Tuner Monster,2,Warrior,EARTH,0,0
Chronomaly Mayan Machine,Effect Monster,3,Machine,EARTH,1500,700
Life Stream Dragon,Synchro Tuner Monster,8,Dragon,EARTH,2900,2400
Infernity Dwarf,Effect Monster,2,Warrior,DARK,800,500
Interplanetarypurplythorny Dragon,Effect Monster,5,Dragon,DARK,2200,1100
Rare Metal Dragon,Effect Monster,4,Dragon,DARK,2400,1200
Yosenju Tsujik,Effect Monster,4,Beast-Warrior,WIND,1000,0
Big Piece Golem,Effect Monster,5,Rock,EARTH,2100,0
Goblindbergh,Effect Monster,4,Warrior,EARTH,1400,0
Gravekeeper's Assailant,Effect Monster,4,Spellcaster,DARK,1500,1500
Legion the Fiend Jester,Effect Monster,4,Spellcaster,DARK,1300,1500
Darklord Nasten,Effect Monster,7,Fairy,DARK,2600,2600
Maestroke the Symphony Djinn,XYZ Monster,4,Fiend,DARK,1800,2300
Hushed Psychic Cleric,Effect Monster,3,Psychic,EARTH,0,2100
Spirit of the Pharaoh,Effect Monster,6,Zombie,LIGHT,2500,2000
Elemental HERO Shining Flare Wingman,Fusion Monster,8,Warrior,LIGHT,2500,2100
Vortex the Whirlwind,Synchro Monster,5,Winged Beast,WIND,2100,700
Darklord Morningstar,Effect Monster,11,Fairy,DARK,3000,3000
Darkflare Dragon,Effect Monster,5,Dragon,DARK,2400,1200
Wind-Up Shark,Effect Monster,4,Fish,WATER,1500,1300
Deskbot 009,Effect Monster,9,Machine,EARTH,500,500
Gravekeeper's Oracle,Effect Monster,10,Spellcaster,DARK,2000,1500
Magicat,Effect Monster,2,Spellcaster,LIGHT,600,500
Blowback Dragon,Effect Monster,6,Machine,DARK,2300,1200
Abyss Actor - Superstar,Pendulum Effect Monster,7,Fiend,DARK,2500,1800
Queen's Knight,Normal Monster,4,Warrior,LIGHT,1500,1600
Changer Synchron,Tuner Monster,1,Machine,DARK,0,0
Naturia Spiderfang,Effect Monster,4,Insect,EARTH,2100,400
Bickuribox,Fusion Monster,7,Fiend,DARK,2300,2000
Dragunity Knight - Barcha,Synchro Monster,8,Dragon,WIND,2000,1200
Wind-Up Kitten,Effect Monster,2,Beast,EARTH,800,500
Master Craftsman Gamil,Effect Monster,2,Pyro,FIRE,200,200
Ally of Justice Garadholg,Effect Monster,4,Machine,DARK,1600,400
Legendary Jujitsu Master,Effect Monster,3,Rock,EARTH,1300,1800
Risebell the Star Adjuster,Effect Monster,3,Psychic,WIND,800,800
Windwitch - Crystal Bell,Fusion Monster,8,Spellcaster,WIND,2800,2400
Al-Lumi'raj,Tuner Monster,3,Wyrm,WIND,1600,1000
Infernoid Piaty,Effect Monster,5,Fiend,FIRE,2200,0
Sylvan Hermitree,Effect Monster,8,Plant,FIRE,2700,1800
Gate Guardian,Effect Monster,11,Warrior,DARK,3750,3400
"Kahkki, Guerilla of Dark World",Effect Monster,2,Fiend,DARK,300,500
Nekroz of Valkyrus,Ritual Effect Monster,8,Spellcaster,WATER,2900,1700
Ancient Fairy Dragon,Synchro Monster,7,Dragon,LIGHT,2100,3000
Naturia Stinkbug,Tuner Monster,3,Insect,EARTH,200,500
Dokuroizo the Grim Reaper,Normal Monster,3,Zombie,DARK,900,1200
Alien Skull,Effect Monster,4,Reptile,WIND,1600,1800
Gladiator Beast Darius,Effect Monster,4,Beast-Warrior,EARTH,1700,300
"Jiaotu, Darkness of the Yang Zing",Tuner Monster,2,Wyrm,DARK,0,2000
Sanga of the Thunder,Effect Monster,7,Thunder,LIGHT,2600,2200
Ancient Sacred Wyvern,Synchro Monster,7,Fairy,LIGHT,2100,2000
Dragunity Partisan,Tuner Monster,2,Dragon,WIND,1200,800
Madolche Marmalmaide,Effect Monster,4,Spellcaster,EARTH,800,2000
Infernoid Antra,Effect Monster,2,Fiend,FIRE,0,2000
Vengeful Shinobi,Effect Monster,2,Warrior,DARK,400,800
Satellarknight Betelgeuse,Effect Monster,4,Warrior,LIGHT,700,1900
Gagaga Magician,Effect Monster,4,Spellcaster,DARK,1500,1000
Invasion of Flames,Effect Monster,3,Pyro,FIRE,1300,1200
Gravekeeper's Watcher,Effect Monster,4,Spellcaster,DARK,1000,1000
Iron Chain Blaster,Effect Monster,2,Warrior,EARTH,1100,0
Pinch Hopper,Effect Monster,4,Insect,EARTH,1000,1200
Sangan,Effect Monster,3,Fiend,DARK,1000,600
Thestalos the Firestorm Monarch,Effect Monster,6,Pyro,FIRE,2400,1000
Inzektor Exa-Stag,XYZ Monster,5,Insect,DARK,800,800
Gemini Lancer,Gemini Monster,4,Sea Serpent,WATER,1800,1400
Stardust Sifr Divine Dragon,Synchro Monster,12,Dragon,LIGHT,4000,4000
Performapal Silver Claw,Pendulum Effect Monster,4,Beast,DARK,1800,800
Burning Skull Head,Effect Monster,3,Zombie,FIRE,1000,800
Blast Sphere,Effect Monster,4,Machine,DARK,1400,1400
Ancient Flamvell Deity,Synchro Monster,7,Pyro,FIRE,2500,200
Constellar Omega,XYZ Monster,4,Beast-Warrior,LIGHT,2400,500
Copycat,Effect Monster,1,Spellcaster,LIGHT,0,0
Rude Kaiser,Normal Monster,5,Beast-Warrior,EARTH,1800,1600
Soaring Eagle Above the Searing Land,Tuner Monster,1,Winged Beast,FIRE,100,0
"Tidal, Dragon Ruler of Waterfalls",Effect Monster,7,Dragon,WATER,2600,2000
Proto-Cyber Dragon,Effect Monster,3,Machine,LIGHT,1100,600
Vampire Lady,Effect Monster,4,Zombie,DARK,1550,1550
Spirit of the Fall Wind,Effect Monster,4,Fairy,WIND,1800,900
Muzurhythm the String Djinn,XYZ Monster,3,Fiend,WIND,1500,1000
Fiend Scorpion,Normal Monster,2,Insect,EARTH,900,200
Madolche Chickolates,Effect Monster,3,Beast,EARTH,800,1500
Ally of Justice Catastor,Synchro Monster,5,Machine,DARK,2200,1200
Metrognome,Pendulum Effect Monster,4,Fairy,EARTH,1800,1600
Sage of Silence,Effect Monster,4,Spellcaster,LIGHT,1400,1000
Nekroz of Brionac,Ritual Effect Monster,6,Warrior,WATER,2300,1400
Card Ejector,Effect Monster,3,Spellcaster,EARTH,400,400
The Fabled Kokkator,Effect Monster,4,Beast,LIGHT,1700,1500
Steelswarm Gatekeeper,Effect Monster,4,Fiend,DARK,1500,1900
Justice of Prophecy,Effect Monster,3,Spellcaster,EARTH,1600,800
Blackwing - Ghibli the Searing Wind,Effect Monster,3,Winged Beast,DARK,0,1600
Justice Bringer,Effect Monster,4,Warrior,EARTH,1700,1000
Heroic Challenger - War Hammer,Effect Monster,6,Warrior,EARTH,2100,1300
Javelin Beetle,Ritual Monster,8,Insect,EARTH,2450,2550
Mecha Phantom Beast Jaculuslan,Synchro Monster,9,Machine,WIND,2700,2000
Destiny HERO - Dark Angel,Effect Monster,1,Warrior,DARK,0,0
Atlantean Pikeman,Normal Monster,2,Sea Serpent,WATER,1400,0
X-Saber Uruz,Effect Monster,4,Beast-Warrior,EARTH,1600,1000
Gem-Armadillo,Effect Monster,4,Rock,EARTH,1700,500
Firewing Pegasus,Normal Monster,6,Beast,FIRE,2250,1800
Graveyard and the Hand of Invitation,Normal Monster,3,Zombie,DARK,700,900
Wicked Acolyte Chilam Sabak,Effect Monster,8,Reptile,DARK,2500,0
Thousand-Eyes Idol,Normal Monster,1,Spellcaster,DARK,0,0
Gem-Knight Sapphire,Normal Monster,4,Aqua,EARTH,0,2100
Fire Sorcerer,Flip Effect Monster,4,Spellcaster,FIRE,1000,1500
Master of Oz,Fusion Monster,9,Beast,EARTH,4200,3700
Dino-Sewing,Effect Monster,4,Fiend,EARTH,0,0
Cheepcheepcheep,Effect Monster,1,Winged Beast,WIND,300,200
Apoqliphort Towers,Effect Monster,10,Machine,EARTH,3000,2600
Mokey Mokey,Normal Monster,1,Fairy,LIGHT,300,100
Mist Wurm,Synchro Monster,9,Thunder,WIND,2500,1500
Wattkid,Normal Monster,3,Thunder,LIGHT,1000,500
Hieratic Dragon King of Atum,XYZ Monster,6,Dragon,LIGHT,2400,2100
Gladiator Beast Heraklinos,Fusion Monster,8,Beast-Warrior,FIRE,3000,2800
Lightray Grepher,Effect Monster,4,Warrior,LIGHT,1700,1600
Golden Homunculus,Effect Monster,6,Warrior,LIGHT,1500,1500
"Stream, Dragon Ruler of Droplets",Effect Monster,4,Dragon,WATER,1600,2000
Shiba-Warrior Taro,Tuner Monster,2,Beast-Warrior,EARTH,800,600
Cosmic Compass,Effect Monster,1,Machine,EARTH,100,300
Ghostrick Witch,Effect Monster,2,Spellcaster,DARK,1200,200
Secret Guards of the Ice Barrier,Effect Monster,2,Aqua,WATER,100,1600
"Beatrice, Lady of the Eternal",XYZ Monster,6,Fairy,LIGHT,2500,2800
The Unhappy Girl,Effect Monster,2,Spellcaster,LIGHT,400,300
Altitude Knight,Effect Monster,4,Warrior,WIND,1400,1200
Skreech,Effect Monster,4,Reptile,WATER,1500,400
Speedroid Tri-Eyed Dice,Tuner Monster,3,Machine,WIND,300,1500
Lightning Conger,Normal Monster,3,Thunder,WATER,350,750
Yokotuner,Tuner Monster,1,Beast,EARTH,800,600
Superheavy Samurai Soulbeads,Effect Monster,1,Machine,EARTH,0,0
Naturia Beetle,Effect Monster,4,Insect,EARTH,400,1800
Tualatin,Effect Monster,8,Fairy,LIGHT,2800,2500
The Six Samurai - Irou,Effect Monster,4,Warrior,DARK,1700,1200
Great Sorcerer of the Nekroz,Effect Monster,4,Spellcaster,WATER,1500,800
Genex Ally Crusher,Effect Monster,4,Machine,DARK,1000,2000
Shadowpriestess of Ohm,Effect Monster,4,Spellcaster,DARK,1700,1600
Pursuit Chaser,Effect Monster,3,Machine,EARTH,1400,600
Parasite Paracide,Flip Effect Monster,2,Insect,EARTH,500,300
Harpie Lady 2,Effect Monster,4,Winged Beast,WIND,1300,1400
"Windaar, Sage of Gusto",Effect Monster,6,Psychic,WIND,2000,1000
Zombowwow,Effect Monster,2,Zombie,DARK,1000,1000
Superheavy Samurai Flutist,Effect Monster,3,Machine,EARTH,500,1000
Dr. Frankenderp,Effect Monster,3,Psychic,DARK,300,300
Gadget Hauler,Effect Monster,6,Machine,EARTH,1300,0
The Judgement Hand,Normal Monster,3,Warrior,EARTH,1400,700
Metalfoes Orichalc,Fusion Monster,8,Psychic,FIRE,2800,2200
Gusto Thunbolt,Effect Monster,4,Thunder,WIND,1500,1200
Toon Barrel Dragon,Toon Monster,7,Machine,DARK,2600,2200
Baby Raccoon Tantan,Flip Effect Monster,2,Beast,EARTH,0,800
Morphtronic Cameran,Effect Monster,2,Machine,LIGHT,800,600
Wrecker Panda,Effect Monster,2,Beast,EARTH,800,800
Roc from the Valley of Haze,Effect Monster,6,Winged Beast,WIND,2400,1400
