Age,Gender,HomeOwnership,InternetConnection,MaritalStatus,CellphoneService,NumCars,PPVFreq,MobileOperatingSystem,StreamingRadio,CustomerID,EducationLevel
29,Female,Rent,Telmex,Married,Telcel,3,Rarely,IOS,YT Music,888987,Master's Degree
31,Male,Rent,Axtel,Never Married,Telcel,1,Monthly,Android,YT Music,888988,High School
35,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,888991,Bachelor
30,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,888997,Bachelor
25,Female,Own,Axtel,Married,Movistar,1,Rarely,IOS,YT Music,888998,Master's Degree
33,Male,Rent,Axtel,Divorced,Telcel,1,Never,Android,YT Music,889002,Bachelor
30,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889005,Bachelor
36,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889006,High School
38,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889007,Bachelor
41,Male,Rent,Telmex,Married,Telcel,3,Weekly,Android,YT Music,889008,Bachelor
36,Male,Rent,Axtel,Married,Movistar,2,Rarely,IOS,YT Music,889010,Bachelor
29,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889014,Master's Degree
60,Male,Own,Telmex,Married,Telcel,2,Weekly,Android,YT Music,889022,Associate's Degree
23,Male,Rent,Axtel,Never Married,Other,1,Never,Android,YT Music,889024,High School
26,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,889025,Master's Degree
22,Male,Rent,Mega cable,Married,Telcel,1,Never,Android,YT Music,889026,Bachelor
30,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889028,Bachelor
28,Female,Rent,Axtel,Married,Movistar,1,Never,IOS,YT Music,889031,Master's Degree
25,Male,Rent,Axtel,Married,Movistar,2,Rarely,IOS,YT Music,889034,Bachelor
26,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889037,High School
34,Male,Rent,Mega cable,Never Married,Telcel,1,Never,Android,YT Music,889038,High School
26,Male,Rent,Axtel,Never Married,Movistar,1,Daily,Other,YT Music,889040,High School
32,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889047,Bachelor
27,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889048,High School
35,Male,Rent,Axtel,Married,Telcel,2,Monthly,Android,YT Music,889050,Master's Degree
39,Male,Own,Mega cable,Never Married,Telcel,1,Never,Android,YT Music,889051,High School
33,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889052,Doctorate
29,Female,Own,Telmex,Married,Telcel,1,Never,IOS,YT Music,889062,Master's Degree
31,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,YT Music,889064,Bachelor
36,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,889066,Bachelor
24,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,889072,High School
33,Male,Rent,Axtel,Separated,Movistar,1,Never,Android,YT Music,889073,Doctorate
27,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889074,Bachelor
36,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,Spotify,889075,Master's Degree
45,Male,Rent,Telmex,Married,Telcel,6,Weekly,Android,YT Music,889077,Bachelor
27,Male,Rent,Telmex,Married,Movistar,1,Never,Android,YT Music,889078,Bachelor
38,Male,Rent,Axtel,Married,Telcel,0,Weekly,IOS,YT Music,889088,Bachelor
48,Male,Own,Telmex,Married,Telcel,1,Weekly,Windows phone,YT Music,889090,Master's Degree
38,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889094,Some College
36,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889095,Some College
22,Male,Rent,Mega cable,Married,Telcel,1,Rarely,IOS,YT Music,889098,Bachelor
34,Male,Rent,Mega cable,Never Married,Movistar,1,Rarely,IOS,YT Music,889100,High School
25,Male,Rent,Telmex,Married,Movistar,1,Rarely,IOS,YT Music,889109,Bachelor
27,Male,Rent,Mega cable,Married,Movistar,2,Never,Android,Spotify,889110,Master's Degree
39,Male,Rent,Mega cable,Never Married,Telcel,2,Never,Android,YT Music,889113,High School
45,Female,Rent,Mega cable,Divorced,Movistar,2,Weekly,Android,YT Music,889119,Bachelor
25,Male,Rent,Mega cable,Never Married,Telcel,2,Monthly,Android,YT Music,889122,High School
48,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889123,Master's Degree
24,Male,Rent,Telmex,Married,Movistar,1,Rarely,IOS,YT Music,889126,Master's Degree
25,Male,Rent,Mega cable,Never Married,Movistar,1,Rarely,IOS,YT Music,889130,High School
32,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,Spotify,889132,High School
54,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889134,Doctorate
31,Male,Rent,Mega cable,Married,Telcel,2,Rarely,IOS,YT Music,889135,Bachelor
23,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889139,High School
23,Male,Own,Axtel,Never Married,Other,1,Never,Android,YT Music,889144,High School
35,Female,Own,Mega cable,Married,Other,2,Never,IOS,YT Music,889146,Bachelor
32,Male,Rent,Axtel,Never Married,Telcel,2,Never,Android,YT Music,889147,High School
28,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,889150,Master's Degree
32,Female,Rent,Axtel,Married,Movistar,2,Weekly,IOS,Spotify,889152,Associate's Degree
26,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889154,Master's Degree
47,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,Spotify,889155,Master's Degree
29,Male,Rent,Telmex,Married,Telcel,2,Weekly,IOS,Spotify,889159,Bachelor
31,Male,Rent,Mega cable,Never Married,Telcel,2,Rarely,IOS,YT Music,889161,High School
35,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889162,Bachelor
40,Male,Own,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,889164,Bachelor
37,Male,Own,Mega cable,Married,Telcel,3,Weekly,IOS,YT Music,889165,Bachelor
46,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,Spotify,889167,Bachelor
39,Male,Rent,Mega cable,Divorced,Movistar,1,Never,Android,YT Music,889170,Associate's Degree
44,Male,Rent,Telmex,Married,AT&T,2,Weekly,IOS,YT Music,889173,Bachelor
27,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889174,Bachelor
25,Male,Rent,Telmex,Never Married,Movistar,2,Never,Android,YT Music,889175,High School
34,Female,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889178,High School
27,Male,Own,Telmex,Married,Telcel,1,Never,Android,YT Music,889179,Master's Degree
42,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889182,Master's Degree
31,Male,Own,Axtel,Married,Telcel,2,Monthly,Android,YT Music,889186,Bachelor
28,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889188,Bachelor
34,Male,Rent,Mega cable,Married,Telcel,3,Weekly,IOS,YT Music,889191,Bachelor
31,Male,Rent,Mega cable,Married,Telcel,1,Never,Android,YT Music,889195,Master's Degree
35,Female,Rent,Telmex,Married,Movistar,2,Rarely,IOS,YT Music,889197,Bachelor
34,Male,Own,Telmex,Never Married,Telcel,1,Never,Android,YT Music,889202,High School
23,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889205,High School
33,Male,Own,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889207,Master's Degree
31,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889210,Master's Degree
25,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,889212,High School
37,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,889215,Bachelor
34,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,889218,Bachelor
30,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889219,High School
28,Male,Rent,Mega cable,Other,Telcel,3,Never,Android,YT Music,889220,Bachelor
37,Male,Own,Mega cable,Divorced,AT&T,1,Never,Android,YT Music,889221,Bachelor
22,Male,Rent,Mega cable,Never Married,Movistar,1,Rarely,IOS,YT Music,889223,High School
24,Male,Own,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889227,High School
31,Female,Own,Mega cable,Never Married,Movistar,1,Rarely,Android,YT Music,889228,High School
34,Male,Rent,Mega cable,Married,Movistar,1,Weekly,Android,YT Music,889231,Bachelor
22,Male,Own,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889233,High School
43,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889236,Doctorate
34,Female,Own,Axtel,Married,Movistar,2,Never,IOS,YT Music,889237,Master's Degree
35,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889238,Master's Degree
25,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889241,High School
39,Male,Rent,Axtel,Never Married,Telcel,1,Never,Android,YT Music,889243,High School
22,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889245,High School
23,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889250,High School
30,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889251,Bachelor
33,Male,Rent,Telmex,Married,Telcel,2,Never,Android,Spotify,889254,Bachelor
44,Female,Rent,Axtel,Married,Movistar,2,Never,IOS,Spotify,889256,Bachelor
36,Male,Rent,Mega cable,Never Married,Telcel,1,Rarely,IOS,YT Music,889257,High School
36,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,889260,Bachelor
30,Male,Own,Mega cable,Married,Telcel,3,Never,Android,YT Music,889261,Bachelor
40,Male,Rent,Telmex,Married,Telcel,2,Never,Android,Spotify,889262,Master's Degree
26,Female,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889264,High School
33,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889267,Bachelor
35,Male,Own,Other,Married,Telcel,2,Weekly,Android,YT Music,889268,Bachelor
30,Male,Rent,Telmex,Never Married,Movistar,2,Never,Android,YT Music,889270,High School
33,Female,Rent,Mega cable,Married,Movistar,2,Rarely,IOS,YT Music,889275,Associate's Degree
34,Female,Rent,Axtel,Married,Movistar,2,Weekly,IOS,YT Music,889276,Master's Degree
38,Male,Rent,Mega cable,Never Married,Movistar,0,Never,Android,YT Music,889277,High School
26,Male,Rent,Telmex,Never Married,Movistar,0,Never,Android,Spotify,889280,High School
28,Male,Own,Mega cable,Married,Telcel,1,Rarely,IOS,YT Music,889281,Bachelor
42,Male,Rent,Mega cable,Married,Movistar,2,Weekly,Android,Spotify,889282,Bachelor
29,Female,Rent,Telmex,Never Married,Movistar,1,Rarely,Android,YT Music,889283,High School
29,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889284,High School
26,Male,Rent,Mega cable,Married,Movistar,3,Never,Android,YT Music,889285,Bachelor
24,Male,Own,Mega cable,Never Married,Movistar,1,Rarely,IOS,YT Music,889287,High School
29,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889291,Bachelor
33,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,YT Music,889292,Bachelor
32,Female,Rent,Axtel,Never Married,Movistar,1,Rarely,Android,Spotify,889297,High School
44,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889299,Some College
25,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889304,High School
27,Male,Rent,Axtel,Never Married,Telcel,2,Never,Android,YT Music,889306,High School
30,Female,Rent,Mega cable,Married,Movistar,1,Weekly,IOS,YT Music,889307,Master's Degree
27,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,889309,Grade School
24,Male,Own,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889310,High School
38,Female,Rent,Mega cable,Never Married,Movistar,2,Rarely,Android,YT Music,889312,High School
32,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889317,Bachelor
24,Female,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889318,High School
30,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889319,Bachelor
30,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889328,Bachelor
37,Female,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889332,High School
32,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889334,High School
23,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889337,High School
40,Female,Rent,Axtel,Divorced,Telcel,2,Rarely,Android,YT Music,889339,Associate's Degree
26,Female,Rent,Mega cable,Married,Movistar,1,Monthly,IOS,YT Music,889340,Master's Degree
48,Male,Own,Mega cable,Married,Telcel,2,Weekly,IOS,YT Music,889345,Bachelor
35,Female,Rent,Telmex,Married,Telcel,2,Never,IOS,YT Music,889346,Master's Degree
27,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889347,Bachelor
43,Male,Rent,Telmex,Married,Telcel,2,Rarely,IOS,Spotify,889349,Bachelor
38,Male,Rent,Telmex,Married,Telcel,3,Rarely,IOS,YT Music,889350,Bachelor
28,Male,Rent,Telmex,Married,Movistar,2,Never,Android,YT Music,889358,Bachelor
35,Male,Rent,Telmex,Never Married,Movistar,1,Monthly,Android,Spotify,889361,High School
41,Female,Own,Other,Divorced,Movistar,1,Never,Android,YT Music,889374,Master's Degree
55,Male,Rent,Telmex,Married,Telcel,3,Never,Android,YT Music,889376,Doctorate
23,Male,Rent,Axtel,Never Married,Movistar,1,Rarely,IOS,YT Music,889378,High School
22,Male,Own,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889379,High School
22,Male,Rent,Mega cable,Never Married,Movistar,1,Monthly,Android,YT Music,889380,High School
34,Female,Own,Mega cable,Married,Movistar,2,Rarely,IOS,YT Music,889381,Bachelor
35,Male,Rent,Axtel,Never Married,Telcel,1,Never,Android,YT Music,889385,High School
22,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889386,High School
32,Male,Rent,Mega cable,Married,Movistar,1,Weekly,Windows phone,YT Music,889387,Bachelor
47,Female,Rent,Telmex,Married,Telcel,3,Weekly,IOS,YT Music,889390,Master's Degree
33,Male,Rent,Mega cable,Married,Movistar,1,Daily,Other,YT Music,889393,Master's Degree
32,Female,Rent,Telmex,Never Married,Movistar,1,Rarely,Android,YT Music,889394,High School
25,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889396,High School
37,Female,Rent,Mega cable,Never Married,Movistar,1,Monthly,Android,YT Music,889399,High School
27,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889400,High School
48,Male,Rent,Telmex,Married,Telcel,1,Never,Android,YT Music,889404,Master's Degree
38,Female,Rent,Mega cable,Married,Telcel,2,Never,IOS,YT Music,889405,Master's Degree
33,Female,Rent,Axtel,Married,Movistar,2,Never,IOS,YT Music,889407,Bachelor
30,Female,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889409,High School
37,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,889411,Bachelor
30,Male,Rent,Mega cable,Never Married,Movistar,1,Monthly,Android,Spotify,889413,High School
42,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,889414,High School
57,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,Spotify,889417,Doctorate
36,Female,Rent,Telmex,Never Married,Movistar,1,Rarely,Android,YT Music,889423,High School
35,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,889424,Some College
47,Male,Rent,Mega cable,Married,Telcel,3,Weekly,Android,YT Music,889426,Doctorate
31,Male,Rent,Telmex,Divorced,Movistar,0,Never,Android,YT Music,889429,Bachelor
30,Male,Rent,Telmex,Never Married,Movistar,1,Rarely,IOS,Spotify,889430,High School
43,Female,Rent,Mega cable,Married,Movistar,2,Never,IOS,YT Music,889431,Some College
28,Male,Own,Telmex,Married,Telcel,1,Rarely,IOS,YT Music,889435,Bachelor
24,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,889440,High School
34,Female,Rent,Mega cable,Never Married,Movistar,1,Monthly,Android,YT Music,889441,High School
35,Female,Rent,Axtel,Married,Telcel,3,Never,IOS,Spotify,889443,Master's Degree
29,Female,Rent,Telmex,Never Married,Movistar,1,Monthly,Android,YT Music,889452,High School
42,Female,Rent,Mega cable,Married,Other,2,Weekly,IOS,Spotify,889456,Doctorate
27,Male,Rent,Mega cable,Married,Telcel,2,Rarely,IOS,YT Music,889463,Bachelor
35,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889465,Master's Degree
43,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,YT Music,889468,Master's Degree
47,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,YT Music,889471,Master's Degree
35,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889477,Grade School
41,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,889478,Bachelor
38,Female,Rent,Axtel,Married,Movistar,2,Never,IOS,YT Music,889480,Bachelor
26,Male,Rent,Mega cable,Never Married,Movistar,1,Monthly,Android,YT Music,889481,High School
26,Female,Rent,Axtel,Never Married,Movistar,2,Monthly,Android,YT Music,889483,High School
26,Female,Own,Mega cable,Never Married,Movistar,0,Rarely,Android,YT Music,889484,High School
51,Male,Own,Mega cable,Married,Telcel,1,Weekly,Android,YT Music,889487,Master's Degree
33,Male,Rent,Axtel,Married,Telcel,3,Weekly,Android,YT Music,889494,Bachelor
26,Male,Rent,Telmex,Never Married,Movistar,1,Rarely,IOS,Spotify,889496,High School
33,Male,Rent,Mega cable,Married,Telcel,2,Weekly,IOS,YT Music,889499,Associate's Degree
23,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889503,High School
41,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889504,Master's Degree
32,Male,Own,Mega cable,Married,Telcel,2,Never,Android,Spotify,889508,Master's Degree
45,Male,Rent,Mega cable,Married,Telcel,3,Weekly,Android,YT Music,889509,Bachelor
40,Male,Rent,Axtel,Never Married,Telcel,2,Monthly,Android,Spotify,889511,High School
44,Female,Rent,Mega cable,Married,Telcel,3,Weekly,IOS,YT Music,889512,Bachelor
43,Male,Rent,Mega cable,Married,Telcel,3,Weekly,Android,YT Music,889513,Bachelor
24,Male,Rent,Axtel,Married,Movistar,1,Rarely,IOS,YT Music,889517,Master's Degree
33,Female,Rent,Mega cable,Married,AT&T,2,Weekly,IOS,YT Music,889519,Associate's Degree
36,Male,Own,Telmex,Married,Telcel,2,Weekly,IOS,YT Music,889525,Master's Degree
25,Female,Rent,Telmex,Never Married,Movistar,2,Never,Android,Spotify,889533,High School
40,Female,Own,Axtel,Married,Movistar,3,Weekly,IOS,YT Music,889534,Bachelor
36,Female,Rent,Mega cable,Married,AT&T,2,Weekly,IOS,Spotify,889538,Master's Degree
22,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889544,High School
35,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889555,High School
35,Female,Own,Telmex,Married,Movistar,2,Weekly,IOS,YT Music,889556,Bachelor
47,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889557,Master's Degree
33,Male,Rent,Other,Married,Telcel,2,Weekly,IOS,YT Music,889563,Bachelor
34,Male,Rent,Axtel,Never Married,Movistar,1,Rarely,IOS,YT Music,889566,High School
28,Female,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889569,High School
33,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889570,Bachelor
35,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,889575,Master's Degree
35,Female,Rent,Izzi,Married,Telcel,2,Never,IOS,Spotify,889576,Bachelor
38,Male,Rent,Mega cable,Never Married,Telcel,2,Monthly,Android,YT Music,889578,High School
26,Male,Rent,Axtel,Never Married,Telcel,1,Weekly,Windows phone,YT Music,889579,High School
29,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889584,Bachelor
39,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,Spotify,889585,Bachelor
24,Female,Rent,Telmex,Never Married,Movistar,1,Rarely,Android,YT Music,889586,High School
39,Female,Rent,Axtel,Married,Movistar,2,Never,IOS,YT Music,889588,Bachelor
45,Male,Own,Axtel,Married,Telcel,3,Weekly,IOS,YT Music,889589,Doctorate
31,Male,Rent,Telmex,Married,Telcel,2,Rarely,IOS,YT Music,889592,Master's Degree
28,Male,Rent,Telmex,Never Married,Movistar,1,Weekly,Windows phone,YT Music,889595,High School
46,Female,Own,Axtel,Married,Movistar,2,Never,IOS,YT Music,889597,Bachelor
41,Male,Own,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,889598,Grade School
22,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889600,High School
22,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889601,High School
43,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,889603,Some College
42,Male,Rent,Axtel,Divorced,Telcel,2,Weekly,Android,YT Music,889611,Bachelor
30,Female,Rent,Axtel,Married,Movistar,2,Never,IOS,YT Music,889613,Master's Degree
36,Female,Rent,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,889614,Master's Degree
38,Male,Rent,Other,Divorced,Telcel,5,Weekly,IOS,YT Music,889620,Master's Degree
33,Female,Rent,Axtel,Divorced,Movistar,2,Rarely,Android,YT Music,889622,Bachelor
30,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889628,Master's Degree
26,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,889629,High School
29,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889630,High School
24,Male,Rent,Axtel,Never Married,Movistar,1,Rarely,IOS,YT Music,889633,High School
48,Female,Own,Mega cable,Married,Other,2,Weekly,IOS,Spotify,889637,Bachelor
32,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889641,Bachelor
27,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889642,High School
38,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,889643,Master's Degree
28,Female,Own,Axtel,Married,Telcel,2,Monthly,IOS,YT Music,889645,Bachelor
28,Female,Rent,Mega cable,Never Married,Movistar,2,Never,Android,YT Music,889657,High School
24,Male,Rent,Mega cable,Other,Telcel,2,Never,Android,YT Music,889661,Bachelor
26,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,889663,Master's Degree
34,Male,Rent,Mega cable,Never Married,Telcel,1,Never,Android,YT Music,889664,High School
24,Female,Own,Axtel,Married,Movistar,1,Never,IOS,YT Music,889666,Bachelor
35,Male,Rent,Mega cable,Married,Telcel,3,Rarely,IOS,YT Music,889667,Bachelor
30,Female,Own,Mega cable,Married,Telcel,2,Rarely,IOS,YT Music,889670,Master's Degree
38,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,889671,High School
50,Male,Rent,Telmex,Married,Telcel,6,Weekly,Android,YT Music,889674,Associate's Degree
26,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889675,High School
35,Female,Own,Mega cable,Married,Movistar,0,Never,IOS,YT Music,889679,Bachelor
27,Male,Rent,Mega cable,Never Married,Movistar,1,Monthly,Android,YT Music,889680,High School
40,Female,Rent,Mega cable,Never Married,Movistar,1,Rarely,Android,YT Music,889681,High School
38,Male,Rent,Axtel,Other,Telcel,1,Never,Android,YT Music,889686,Bachelor
39,Male,Rent,Mega cable,Married,Telcel,2,Weekly,IOS,Spotify,889687,Master's Degree
36,Female,Rent,Mega cable,Married,Movistar,2,Monthly,IOS,YT Music,889690,Master's Degree
25,Male,Rent,Mega cable,Never Married,Telcel,1,Never,Android,Other,889691,High School
42,Male,Own,Mega cable,Divorced,Telcel,1,Weekly,Android,YT Music,889693,Bachelor
48,Female,Rent,Axtel,Separated,Movistar,2,Never,Android,YT Music,889701,Doctorate
30,Male,Rent,Axtel,Married,Telcel,2,Monthly,Android,YT Music,889702,Grade School
22,Male,Own,Mega cable,Never Married,Telcel,1,Never,Android,Other,889704,High School
45,Female,Rent,Telmex,Other,Movistar,1,Rarely,Android,Spotify,889705,Master's Degree
26,Male,Rent,Mega cable,Never Married,Movistar,1,Rarely,IOS,YT Music,889709,High School
49,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,YT Music,889711,Master's Degree
34,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,889713,Master's Degree
50,Male,Rent,Axtel,Married,Telcel,3,Rarely,IOS,YT Music,889715,Bachelor
36,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889717,Bachelor
30,Male,Own,Mega cable,Married,Telcel,2,Never,Android,YT Music,889718,Bachelor
28,Male,Own,Mega cable,Never Married,Telcel,2,Monthly,Android,YT Music,889719,High School
24,Female,Rent,Telmex,Never Married,Other,1,Never,Android,YT Music,889720,High School
22,Female,Rent,Axtel,Married,Movistar,2,Monthly,IOS,YT Music,889721,Associate's Degree
40,Male,Rent,Mega cable,Divorced,Telcel,1,Never,Android,Spotify,889724,Master's Degree
30,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,889730,High School
37,Male,Own,Axtel,Married,Movistar,2,Monthly,Android,YT Music,889731,Bachelor
31,Male,Rent,Mega cable,Married,Movistar,2,Rarely,IOS,YT Music,889732,Some College
28,Male,Rent,Mega cable,Married,Telcel,1,Never,Android,YT Music,889736,Bachelor
32,Male,Own,Axtel,Married,Telcel,1,Rarely,IOS,YT Music,889738,Master's Degree
35,Male,Rent,Mega cable,Divorced,Movistar,0,Never,Android,YT Music,889739,Some College
26,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889740,High School
31,Female,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889742,High School
35,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889743,Bachelor
25,Male,Rent,Mega cable,Married,Movistar,1,Rarely,IOS,YT Music,889745,Master's Degree
46,Female,Rent,Mega cable,Divorced,Movistar,1,Never,Android,Spotify,889749,Master's Degree
25,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,889752,Bachelor
23,Male,Own,Axtel,Never Married,Movistar,1,Never,Android,YT Music,889753,High School
38,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,889755,Master's Degree
41,Male,Rent,Axtel,Married,Telcel,3,Never,Android,YT Music,889757,Bachelor
29,Male,Rent,Mega cable,Never Married,Telcel,2,Monthly,Android,Spotify,889759,High School
35,Male,Own,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,889761,High School
28,Male,Own,Axtel,Never Married,Telcel,1,Monthly,Android,YT Music,889762,High School
42,Female,Rent,Axtel,Married,Telcel,3,Never,IOS,YT Music,889768,Bachelor
26,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,889769,High School
28,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,889770,Bachelor
39,Female,Rent,Axtel,Married,Movistar,2,Weekly,IOS,YT Music,889773,Bachelor
24,Male,Rent,Axtel,Never Married,Movistar,1,Monthly,Android,Spotify,889774,High School
41,Male,Own,Izzi,Married,Telcel,2,Weekly,Android,Spotify,889775,Bachelor
25,Male,Rent,Axtel,Never Married,Other,1,Rarely,IOS,YT Music,889776,High School
23,Male,Rent,Mega cable,Never Married,Movistar,1,Rarely,IOS,Spotify,889777,High School
